,qNum,TextLength,WordCount,AvgWordLength,AnswerRate,Entropy,T1,T2,T3,T4,T5
13,13,33,7,4.714285714285714,0.6965845909451946,0.9592755310720735,0.0,0.0,0.0,0.0,0.0
23,23,114,17,6.705882352941177,0.44905008635578586,1.333539574951985,0.0,1.0,1.0,1.0,1.0
72,72,83,14,5.928571428571429,0.5347846663511595,1.1135295821332174,1.0,1.0,0.0,1.0,1.0
74,74,56,10,5.6,0.48619447779111646,1.259191128229084,0.0,0.0,0.0,0.0,0.0
95,95,122,19,6.421052631578948,0.38443935926773454,1.39080413219217,0.0,0.0,0.0,1.0,1.0
100,100,95,16,5.9375,0.6666666666666666,1.021223138323104,1.0,0.0,0.0,0.0,0.0
104,104,92,15,6.133333333333334,0.2247191011235955,1.3225822141891346,1.0,1.0,1.0,0.0,0.0
129,129,182,27,6.7407407407407405,0.4796279893711249,1.307030350568795,0.0,0.0,0.0,0.0,0.0
145,145,208,35,5.942857142857143,0.4779116465863454,1.2406878269284407,0.0,0.0,0.0,0.0,0.0
153,153,61,6,10.166666666666666,0.75,0.5,1.0,1.0,1.0,1.0,1.0
155,155,112,16,7.0,0.1647761194029851,1.3966689204009377,1.0,1.0,1.0,1.0,0.0
172,172,211,32,6.59375,0.30194805194805197,1.4090778117832732,1.0,1.0,0.0,0.0,1.0
184,184,72,10,7.2,0.6193365695792881,1.1257448262025433,0.0,0.0,0.0,1.0,0.0
195,195,9,0,0.0,0.7486296006264683,0.8833824933589565,0.0,0.0,0.0,0.0,0.0
208,208,115,17,6.764705882352941,0.24358974358974358,1.3768377841828607,0.0,0.0,0.0,1.0,0.0
223,223,73,7,10.428571428571429,0.27,1.436103662177933,0.0,0.0,0.0,0.0,0.0
242,242,243,30,8.1,0.3742690058479532,1.4039059323551157,1.0,1.0,1.0,1.0,1.0
278,278,205,33,6.212121212121212,0.5413844996237773,1.1442554933590712,1.0,1.0,1.0,1.0,1.0
287,287,257,44,5.840909090909091,0.6666666666666666,0.861654166907052,1.0,0.0,1.0,1.0,1.0
289,289,96,13,7.384615384615385,0.4843238184370613,1.2960944121872195,0.0,0.0,1.0,0.0,0.0
304,304,187,30,6.233333333333333,0.5616020896821942,1.0807366738623574,1.0,1.0,1.0,1.0,1.0
307,307,161,29,5.551724137931035,0.2675336739433349,1.4442819647294087,1.0,1.0,1.0,0.0,1.0
340,340,0,0,0.0,0.5316455696202531,1.2299993235861513,1.0,1.0,0.0,1.0,1.0
357,357,74,8,9.25,0.5714285714285714,0.9174378237389731,0.0,0.0,1.0,1.0,0.0
361,361,144,18,8.0,0.4085974815458098,1.3757198467783818,1.0,1.0,0.0,1.0,0.0
365,365,185,32,5.78125,0.317481884057971,1.1670154305747662,0.0,0.0,1.0,1.0,0.0
376,376,186,30,6.2,0.6658097686375322,1.0076516173318069,0.0,0.0,1.0,1.0,0.0
381,381,40,6,6.666666666666667,0.6724137931034483,1.006309343756489,1.0,1.0,0.0,0.0,1.0
394,394,89,12,7.416666666666667,0.7770088427527874,0.8360536441682405,1.0,1.0,1.0,0.0,0.0
428,428,74,10,7.4,0.3333333333333333,1.3899750004807707,1.0,0.0,1.0,1.0,1.0
430,430,45,6,7.5,0.3107890499194847,1.2949820404926564,1.0,0.0,0.0,0.0,0.0
432,432,33,7,4.714285714285714,0.6391875746714456,1.0731914287174147,0.0,0.0,1.0,0.0,0.0
439,439,124,18,6.888888888888889,0.25990626331487005,1.3097800436162956,0.0,1.0,1.0,1.0,1.0
479,479,203,34,5.970588235294118,0.4388888888888889,1.2334725630137031,0.0,0.0,0.0,0.0,1.0
515,515,145,20,7.25,0.4457831325301205,1.3054009930707728,1.0,1.0,0.0,0.0,1.0
532,532,74,10,7.4,0.4811320754716981,1.3135262103470118,1.0,1.0,0.0,0.0,1.0
570,570,152,21,7.238095238095238,0.6002673796791443,1.1436402170669029,0.0,1.0,0.0,0.0,0.0
606,606,95,15,6.333333333333333,0.5,0.5,1.0,1.0,1.0,0.0,1.0
611,611,134,23,5.826086956521739,0.2942982456140351,1.4290567429860894,0.0,0.0,0.0,1.0,1.0
688,688,64,9,7.111111111111111,0.7515923566878981,0.8728739537359868,0.0,1.0,0.0,0.0,0.0
740,740,69,12,5.75,0.5147833130822195,1.2562904042627483,1.0,1.0,1.0,1.0,1.0
744,744,193,39,4.948717948717949,0.552073732718894,1.2235772781598278,1.0,1.0,1.0,1.0,1.0
762,762,213,39,5.461538461538462,0.28662420382165604,1.4721926469938578,1.0,1.0,1.0,1.0,1.0
798,798,18,3,6.0,0.6926121372031663,0.9875872553645015,0.0,0.0,0.0,0.0,0.0
836,836,46,8,5.75,0.515854074326628,1.2073642272987435,0.0,0.0,1.0,0.0,1.0
851,851,222,42,5.285714285714286,0.32941176470588235,1.4263397484174223,1.0,1.0,1.0,1.0,1.0
907,907,50,8,6.25,0.8442622950819673,0.6640252428156673,0.0,0.0,0.0,0.0,0.0
