,qNum,TextLength,WordCount,AvgWordLength,AnswerRate,Entropy,T1,T2,T3,T4,T5
4,4,138,23,6.0,0.4014084507042254,1.3819939745443885,1.0,1.0,1.0,0.0,0.0
16,16,77,11,7.0,0.5834782608695652,1.1196541545005456,1.0,1.0,0.0,0.0,0.0
27,27,0,0,0.0,0.45169600686990125,1.3280483700936823,1.0,1.0,0.0,1.0,0.0
56,56,95,16,5.9375,0.5164498852333589,1.1942828618602785,0.0,1.0,0.0,0.0,0.0
116,116,100,17,5.882352941176471,0.532516493873704,1.13828605193446,0.0,0.0,0.0,0.0,0.0
118,118,104,17,6.117647058823529,0.5184887459807074,1.242448366626331,1.0,1.0,1.0,1.0,1.0
121,121,49,6,8.166666666666666,0.3592814371257485,1.2947164156682565,0.0,1.0,1.0,1.0,1.0
127,127,0,0,0.0,0.43119266055045874,1.3216430397536312,1.0,1.0,0.0,1.0,1.0
129,129,182,27,6.7407407407407405,0.4796279893711249,1.307030350568795,1.0,1.0,1.0,1.0,1.0
132,132,67,11,6.090909090909091,0.38777908343125733,1.3382146947327413,1.0,0.0,0.0,0.0,1.0
139,139,48,7,6.857142857142857,0.3333333333333333,0.9308270834535259,1.0,0.0,0.0,0.0,1.0
153,153,61,6,10.166666666666666,0.75,0.5,0.0,0.0,0.0,1.0,0.0
158,158,0,0,0.0,0.4008152173913043,1.3254647597261178,0.0,1.0,1.0,1.0,0.0
202,202,231,41,5.634146341463414,0.7776781712236666,0.828136568355872,1.0,0.0,0.0,0.0,0.0
225,225,98,16,6.125,0.34444444444444444,1.3542523456765945,0.0,0.0,0.0,0.0,0.0
233,233,144,22,6.545454545454546,0.49002302379125096,1.2237979943943647,1.0,1.0,1.0,1.0,0.0
246,246,92,12,7.666666666666667,0.3090909090909091,1.2859716303084103,1.0,1.0,1.0,0.0,1.0
271,271,303,50,6.06,0.38748627881448955,1.3970041551885022,0.0,1.0,1.0,1.0,0.0
285,285,111,13,8.538461538461538,0.6514188903007201,1.0319319284822246,0.0,0.0,0.0,0.0,0.0
316,316,109,19,5.7368421052631575,0.3020833333333333,1.4394225132825662,1.0,0.0,0.0,0.0,0.0
318,318,373,61,6.114754098360656,0.5128205128205128,1.222250119390237,1.0,1.0,1.0,0.0,1.0
327,327,121,21,5.761904761904762,0.41221033868092694,1.3305282093018624,0.0,1.0,0.0,0.0,1.0
363,363,106,17,6.235294117647059,0.7119341563786008,0.9655211422433916,0.0,1.0,0.0,0.0,0.0
403,403,68,7,9.714285714285714,0.6522923286427599,1.075051723178563,0.0,0.0,0.0,0.0,1.0
404,404,163,30,5.433333333333334,0.4482213438735178,1.3125782478001917,0.0,0.0,1.0,0.0,1.0
478,478,77,12,6.416666666666667,0.6010362694300518,1.0382001791497186,0.0,0.0,0.0,0.0,1.0
527,527,59,6,9.833333333333334,0.7146075854299662,0.9637314112255643,0.0,0.0,0.0,0.0,0.0
547,547,151,19,7.947368421052632,0.5170998632010944,1.1571282896132231,1.0,1.0,1.0,1.0,1.0
555,555,237,42,5.642857142857143,0.44658493870402804,1.3478377181763317,1.0,1.0,1.0,1.0,1.0
558,558,213,35,6.085714285714285,0.4666666666666667,1.2545464993925388,1.0,1.0,1.0,1.0,1.0
578,578,56,8,7.0,0.5777777777777777,0.8025045746855408,0.0,0.0,0.0,0.0,0.0
586,586,281,44,6.386363636363637,0.24676089517078917,1.4235794818820728,0.0,0.0,1.0,1.0,1.0
609,609,193,37,5.216216216216216,0.4526645768025078,1.2509297604764815,1.0,1.0,1.0,1.0,1.0
620,620,237,40,5.925,0.4231678486997636,1.3239768190909866,1.0,1.0,1.0,1.0,1.0
668,668,185,32,5.78125,0.7201772324471711,0.938044311972912,1.0,1.0,1.0,1.0,1.0
676,676,35,5,7.0,0.5771369006254343,1.1846012190549857,1.0,1.0,1.0,0.0,1.0
691,691,140,25,5.6,0.6556776556776557,1.060427606295157,0.0,0.0,0.0,1.0,1.0
704,704,130,20,6.5,0.5774811375507836,1.1108551874433155,0.0,0.0,1.0,0.0,0.0
721,721,66,12,5.5,0.604526503871352,1.1397252835395388,1.0,0.0,1.0,1.0,0.0
733,733,91,15,6.066666666666666,0.8470588235294118,0.5659153084813706,0.0,0.0,0.0,1.0,0.0
741,741,181,31,5.838709677419355,0.7111459968602826,0.9715111689197485,0.0,0.0,0.0,0.0,0.0
761,761,69,12,5.75,0.40458015267175573,1.32372934583857,0.0,1.0,1.0,1.0,1.0
780,780,37,7,5.285714285714286,0.3943217665615142,1.3158170948540806,1.0,0.0,1.0,1.0,1.0
815,815,121,20,6.05,0.774281805745554,0.8388608282976486,0.0,0.0,0.0,0.0,0.0
830,830,111,11,10.090909090909092,0.5131304710295956,1.2703191294767673,1.0,1.0,1.0,1.0,0.0
865,865,285,46,6.195652173913044,0.29743589743589743,1.3905388148912867,1.0,0.0,1.0,1.0,1.0
876,876,35,8,4.375,0.379746835443038,1.3635555734035725,1.0,1.0,1.0,0.0,1.0
877,877,45,8,5.625,0.5142314990512334,1.2669871362091152,0.0,0.0,0.0,0.0,0.0
909,909,130,25,5.2,0.5308641975308642,1.1202004272208688,0.0,0.0,0.0,1.0,0.0
